file,timestamp,line,event_type,total_tokens,input_tokens,cached_input_tokens,output_tokens,uncached_input_tokens,delta_total_tokens,delta_cached_input_tokens,delta_uncached_input_tokens
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:25:23.346Z,97,event_msg,82811,82676,80256,135,2420,-436706,-235520,-189823
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:25:30.475Z,100,event_msg,607660,596027,398080,11633,197947,524849,317824,195527
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:25:30.475Z,100,event_msg,88143,88008,82304,135,5704,-519517,-315776,-192243
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:26:00.609Z,105,event_msg,698004,684895,485504,13109,199391,609861,403200,193687
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:26:00.609Z,105,event_msg,90344,88868,87424,1476,1444,-607660,-398080,-197947
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:26:22.213Z,110,event_msg,789463,775302,573952,14161,201350,699119,486528,199906
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:26:22.213Z,110,event_msg,91459,90407,88448,1052,1959,-698004,-485504,-199391
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:26:44.594Z,116,event_msg,882046,866824,663936,15222,202888,790587,575488,200929
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:26:44.594Z,116,event_msg,92583,91522,89984,1061,1538,-789463,-573952,-201350
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:27:01.752Z,120,event_msg,975473,959470,754944,16003,204526,882890,664960,202988
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:27:01.752Z,120,event_msg,93427,92646,91008,781,1638,-882046,-663936,-202888
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:27:20.086Z,124,event_msg,1069803,1052960,846976,16843,205984,976376,755968,204346
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:27:20.086Z,124,event_msg,94330,93490,92032,840,1458,-975473,-754944,-204526
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:27:51.277Z,129,event_msg,1165795,1147353,940032,18442,207321,1071465,848000,205863
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:27:51.277Z,129,event_msg,95992,94393,93056,1599,1337,-1069803,-846976,-205984
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:05.047Z,134,event_msg,1262472,1243408,1034112,19064,209296,1166480,941056,207959
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:05.047Z,134,event_msg,96677,96055,94080,622,1975,-1165795,-940032,-207321
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:37.465Z,141,event_msg,1360854,1340148,1129728,20706,210420,1264177,1035648,208445
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:37.465Z,141,event_msg,98382,96740,95616,1642,1124,-1262472,-1034112,-209296
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:44.058Z,146,event_msg,1459526,1438591,1225856,20935,212735,1361144,1130240,211611
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:44.058Z,146,event_msg,98672,98443,96128,229,2315,-1360854,-1129728,-210420
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:47.998Z,151,event_msg,1558367,1537321,1324032,21046,213289,1459695,1227904,210974
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:47.998Z,151,event_msg,98841,98730,98176,111,554,-1459526,-1225856,-212735
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:55.693Z,159,event_msg,1657525,1636220,1422208,21305,214012,1558684,1324032,213458
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:28:55.693Z,159,event_msg,99158,98899,98176,259,723,-1558367,-1324032,-213289
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:03.437Z,163,event_msg,1757264,1735778,1520896,21486,214882,1658106,1422720,214159
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:03.437Z,163,event_msg,99739,99558,98688,181,870,-1657525,-1422208,-214012
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:09.749Z,168,event_msg,1857340,1835627,1620096,21713,215531,1757601,1521408,214661
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:09.749Z,168,event_msg,100076,99849,99200,227,649,-1757264,-1520896,-214882
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:15.470Z,174,event_msg,1957625,1935766,1719296,21859,216470,1857549,1620096,215821
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:15.470Z,174,event_msg,100285,100139,99200,146,939,-1857340,-1620096,-215531
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:28.296Z,186,event_msg,2058457,2036157,1819008,22300,217149,1958172,1719808,216210
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:28.296Z,186,event_msg,100832,100391,99712,441,679,-1957625,-1719296,-216470
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:43.068Z,192,event_msg,2160862,2138063,1918720,22799,219343,2060030,1819008,218664
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:43.068Z,192,event_msg,102405,101906,99712,499,2194,-2058457,-1819008,-217149
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:52.519Z,198,event_msg,2263784,2240658,2019968,23126,220690,2161379,1920256,218496
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:29:52.519Z,198,event_msg,102922,102595,101248,327,1347,-2160862,-1918720,-219343
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:02.120Z,204,event_msg,2367226,2343742,2122240,23484,221502,2264304,2020992,220155
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:02.120Z,204,event_msg,103442,103084,102272,358,812,-2263784,-2019968,-220690
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:10.998Z,210,event_msg,2471458,2447667,2225024,23791,222643,2368016,2122752,221831
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:10.998Z,210,event_msg,104232,103925,102784,307,1141,-2367226,-2122240,-221502
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:16.034Z,215,event_msg,2575835,2551943,2328320,23892,223623,2471603,2225536,222482
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:16.034Z,215,event_msg,104377,104276,103296,101,980,-2471458,-2225024,-222643
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:35.382Z,223,event_msg,2682109,2657427,2432128,24682,225299,2577732,2328832,224319
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:35.382Z,223,event_msg,106274,105484,103808,790,1676,-2575835,-2328320,-223623
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:43.871Z,229,event_msg,2789884,2764937,2536960,24947,227977,2683610,2433152,226301
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:43.871Z,229,event_msg,107775,107510,104832,265,2678,-2682109,-2432128,-225299
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:58.776Z,235,event_msg,2899044,2873573,2643840,25471,229733,2791269,2539008,227055
rollout-2026-06-28T04-20-31-019f0d87-bb4f-71d3-84d8-f6903ec273b8.jsonl,2026-06-28T09:30:58.776Z,235,event_msg,109160,108636,106880,524,1756,-2789884,-2536960,-227977
